TF_id,num_TFHit_input,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank,symbol,fullname,Second
AT3G02150,293,293/920,4822/31393,3.988938439126686e-37,2.676656260210632,5.592491691655613e-34,1.1401411604672937e-35,11,A-PTF-1,NA,"bHLHb1--NA,   PTF1--plastid transcription factor 1,   TCP13--TEOSINTE BRANCHED1, CYCLOIDEA AND PCF TRANSCRIPTION FACTOR 13,   TFPD--NA"
AT2G43140,180,180/920,2202/31393,4.114795165596248e-37,3.4223774289201954,5.764828027000343e-34,1.1401411604672937e-35,12,bHLH129,NA,NA
AT4G14410,275,275/920,4535/31393,2.6901422726914077e-34,2.6232354452290094,3.766199181767971e-31,6.880556197460716e-33,13,bHLH104,basic Helix-Loop-Helix 104,NA
AT1G69690,271,271/920,4476/31393,1.3370567792280738e-33,2.608218796767507,1.8705424341400754e-30,3.175509850666675e-32,14,AtTCP15,NA,TCP15--TEOSINTE BRANCHED1/CYCLOIDEA/PCF 15
AT2G42280,213,213/920,3106/31393,5.169541711781938e-33,2.8719597912462027,7.227019313071149e-30,1.1459150794449962e-31,15,AKS3,ABA-responsive kinase substrate 3,FBH4--FLOWERING BHLH 4
AT3G56850,255,255/920,4142/31393,1.7305904843982226e-32,2.6227105350773465,2.417634906704317e-29,3.596383350390056e-31,16,AREB3,ABA-responsive element binding protein 3,DPBF3--NA
AT5G03150,286,286/920,4943/31393,2.875915185211591e-32,2.5005894814532637,4.0147775985553813e-29,5.624951759310905e-31,17,JKD,JACKDAW,NA
AT1G75390,287,287/920,4999/31393,8.282249945407056e-32,2.4785154479601115,1.1553738673842843e-28,1.5299156149154699e-30,18,AtbZIP44,basic leucine-zipper 44,bZIP44--basic leucine-zipper 44
AT5G11260,252,252/920,4140/31393,2.858577541719973e-31,2.5795821426860086,3.9848570931576424e-28,5.002510698009952e-30,19,HY5,ELONGATED HYPOCOTYL 5,TED 5--REVERSAL OF THE DET PHENOTYPE 5
AT5G08070,271,271/920,4654/31393,9.49621492149542e-31,2.485474372367022,1.3228227385643119e-27,1.5787457306986132e-29,20,TCP17,TCP domain protein 17,NA
AT1G49720,251,251/920,4150/31393,1.077903877248894e-30,2.5568635643559263,1.5004421971304605e-27,1.650091138673644e-29,21,ABF1,abscisic acid responsive element-binding factor 1,AtABF1--NA
AT2G35530,236,236/920,3779/31393,1.0917896255885766e-30,2.6224227429761493,1.51867936919371e-27,1.650091138673644e-29,22,AtbZIP16,NA,bZIP16--basic region/leucine zipper transcription factor 16
AT5G15830,224,224/920,3499/31393,1.7149953981487626e-30,2.672670890502129,2.38384360342678e-27,2.4792868255846236e-29,23,AtbZIP3,basic leucine-zipper 3,bZIP3--basic leucine-zipper 3
AT5G61850,287,287/920,5139/31393,9.822639988132928e-30,2.3941877964692386,1.3643646943516637e-26,1.3421376302356988e-28,24,LFY,LEAFY,LFY3--LEAFY 3
AT3G23690,227,227/920,3616/31393,1.0327474633302545e-29,2.6176730705260534,1.4334534791023933e-26,1.3421376302356988e-28,25,CIL2,CIB1 Like protein 2,NA
AT4G34590,219,219/920,3423/31393,1.0494910792820504e-29,2.6587893081313636,1.455644126964204e-26,1.3421376302356988e-28,26,ATB2,NA,"AtbZIP11--Arabidopsis thaliana basic leucine-zipper 11,   BZIP11--NA,   GBF6--G-box binding factor 6"
AT1G18400,161,161/920,2113/31393,1.6739128994956684e-29,3.0991562075999193,2.3200432787009964e-26,2.0613927373418877e-28,27,BEE1,BR enhanced expression 1,NA
AT1G19350,272,272/920,4785/31393,3.689020298822339e-29,2.4144370896216722,5.109293113868939e-26,4.3807116048515265e-28,28,BES1,BRI1-EMS-SUPPRESSOR 1,BZR2--BRASSINAZOLE-RESISTANT 2
AT4G00270,169,169/920,2308/31393,5.179358360655237e-29,2.9807137633902934,7.168231971146848e-26,5.93840225833747e-28,29,GeBP,GL1 enhancer binding protein,STKR1--STOREKEEPER RELATED 1
AT2G46270,218,218/920,3448/31393,7.663184403469602e-29,2.6191069689132207,1.0598184029998458e-25,8.493362713845474e-28,30,GBF3,G-box binding factor 3,NA
AT1G05805,168,168/920,2312/31393,1.8861493199067717e-28,2.951717134414171,2.6066583601111586e-25,2.023047254416134e-27,31,AKS2,ABA-responsive kinase substrate 2,NA
AT5G57620,189,189/920,2791/31393,2.47648101858139e-28,2.7692609022270287,3.4200202866608995e-25,2.5732185583697253e-27,32,AtMYB36,myb domain protein 36,MYB36--myb domain protein 36
AT5G08130,209,209/920,3268/31393,3.3381953613371466e-28,2.634212974849323,4.606709598645262e-25,3.3634847201351554e-27,33,BIM1,BES1-INTERACTING MYC-LIKE1,NA
AT4G01680,192,192/920,2874/31393,4.497984533729916e-28,2.7327022899262134,6.202720672013553e-25,4.398764286662343e-27,34,AtMYB55,myb domain protein 55,MYB55--myb domain protein 55
AT3G44460,133,133/920,1612/31393,1.635212443469311e-27,3.3127382030593306,2.253322747100711e-24,1.5534518212958453e-26,35,AtbZIP67,basic leucine zipper transcription factor 67,DPBF2--NA
AT5G08330,208,208/920,3292/31393,2.305823176830146e-27,2.5943390592825573,3.175118514495111e-24,2.129683906377843e-26,36,AtTCP21,NA,"CHE--CCA1 HIKING EXPEDITION,   TCP21--TCP domain protein 21"
AT1G30210,205,205/920,3222/31393,2.5062051714731222e-27,2.6091029630744447,3.448538315947016e-24,2.2521978905805756e-26,37,ATTCP24,NA,"TCP24--TEOSINTE BRANCHED 1, cycloidea, and PCF family 24"
AT2G36270,265,265/920,4739/31393,3.5736155838135144e-027,2.351100871273509,4.913721427743582e-24,3.1269136358368246e-26,38,ABI5,ABA INSENSITIVE 5,"AtABI5--NA,   DPBF1--NA,   GIA1--GROWTH-INSENSITIVITY TO ABA 1"
AT2G04880,137,137/920,1747/31393,3.390683762998876e-26,3.1365157632402187,4.658799490360456e-23,2.890775259479811e-25,39,ATWRKY1,NA,"WRKY1--NA,   ZAP1--zinc-dependent activator protein-1"
AT4G38000,207,207/920,3347/31393,5.088280783927124e-26,2.5270899065394548,6.986209516331941e-23,4.229633401639421e-25,40,DOF4.7,DNA binding with one finger 4.7,NA
AT1G51140,169,169/920,2463/31393,8.1814060597173e-26,2.764053322339062,1.1224889113932137e-22,6.634920767941468e-25,41,AKS1,ABA-responsive kinase substrate 1,"CFLAP1--AtCFL1 associated protein 1,   FBH3--FLOWERING BHLH 3"
AT2G20180,243,243/920,4278/31393,1.3861419284411014e-25,2.351725309643929,1.90040058389275e-22,1.097362360015872e-24,42,PIF1,PHY-INTERACTING FACTOR 1,PIL5--phytochrome interacting factor 3-like 5
AT3G20910,80,80/920,700/31393,1.9319024046944683e-25,4.585075685502561,2.6467062944314216e-22,1.4938547664207225e-24,43,NF-YA9,"nuclear factor Y, subunit A9",NA
AT1G32150,203,203/920,3291/31393,2.4724793649925415e-25,2.5106992010541793,3.3848242506747894e-22,1.8684077019545908e-24,44,AtbZIP68,NA,bZIP68--basic region/leucine zipper transcription factor 68
AT2G25650,142,142/920,1894/31393,3.065152970299629e-25,2.9919161107472423,4.1931292633698927e-22,2.26480747249917e-24,45,GPL1,GeBP-like protein 1,NA
AT1G26260,182,182/920,2799/31393,3.772087994331977e-25,2.624892809166874,5.1564442882518125e-22,2.7265636045986573e-24,46,CIB5,cryptochrome-interacting basic-helix-loop-helix 5,NA
AT3G27010,205,205/920,3353/31393,4.0645612549883508e-25,2.4886282641592627,5.552190674314087e-22,2.8754608878375032e-24,47,AT-TCP20,"ARABIDOPSIS THALIANA TEOSINTE BRANCHED 1, CYCLOIDEA, PCF (TCP)-DOMAIN FAMILY PROTEIN 20","ATTCP20--NA,   PCF1--NA,   TCP20--TEOSINTE BRANCHED 1, cycloidea, PCF (TCP)-domain family protein 20"
AT5G66730,229,229/920,3969/31393,7.370684514853801e-25,2.36876060702991,1.0060984362775438e-21,5.1057345858101846e-24,48,ENY,ENHYDROUS,IDD1--INDETERMINATE DOMAIN 1
AT3G07340,145,145/920,1980/31393,8.977526989816103e-25,2.9197743362195783,1.2245346814109165e-21,6.091893314518069e-24,49,CIB3,CRY2-interacting bHLH 3,NA
AT5G20240,348,348/920,7243/31393,1.4452331588366294e-24,2.0804383390762613,1.969852795494326e-21,9.610800506263584e-24,50,PI,PISTILLATA,NA
AT3G23210,226,226/920,3934/31393,3.002816814335922e-24,2.3506634161023965,4.0898365011255254e-21,1.95771880542489e-23,51,bHLH34,basic Helix-Loop-Helix 34,NA
AT3G55370,237,237/920,4221/31393,3.497468080174044e-24,2.30692907241474,4.760054057116874e-21,2.2363618012651334e-23,52,OBP3,OBF-binding protein 3,NA
AT5G06950,168,168/920,2527/31393,3.692546834746454e-24,2.6623391744706066,5.0218636952551774e-21,2.3165506085909355e-23,53,AHBP-1B,NA,"AtTGA2--NA,   TGA2--TGACG sequence-specific binding protein 2"
AT5G25810,196,196/920,3226/31393,1.3088744087511401e-23,2.451915824603251,1.7787603214927994e-20,8.05927297981026e-23,54,tny,TINY,NA
AT3G19290,159,159/920,2364/31393,2.4537021256736872e-23,2.678386138372623,3.332127486664867e-20,1.4833744668845472e-22,55,ABF4,ABRE binding factor 4,"AREB2--ABA-RESPONSIVE ELEMENT BINDING PROTEIN 2,   AtAREB2--NA"
AT5G44160,277,277/920,5354/31393,2.7989664350601046e-23,2.154848406240813,3.798197452376562e-20,1.6618863208169369e-22,56,AtIDD8,NA,"IDD8--INDETERMINATE DOMAIN 8,   NUC--NUTCRACKER"
AT3G10800,198,198/920,3300/31393,3.238593401413306e-23,2.419556219012316,4.391532652316443e-20,1.8891794841577617e-22,57,BZIP28,NA,NA
AT1G51070,181,181/920,2888/31393,3.4283524538541264e-23,2.512125468833894,4.6454175749723415e-20,1.9653917084594774e-22,58,bHLH115,basic Helix-Loop-Helix 115,NA
AT5G65210,218,218/920,3814/31393,4.986134519876335e-23,2.320884616490601,6.751226139912557e-20,2.8099825895913243e-22,59,TGA1,TGACG sequence-specific binding protein 1,NA
AT3G01220,167,167/920,2567/31393,5.211708831339103e-23,2.594054093620187,7.051442048801806e-20,2.8881553107004193e-22,60,ATHB20,homeobox protein 20,HB20--homeobox protein 20
AT4G34000,176,176/920,2789/31393,7.617598400122478e-23,2.522106628515943,1.029899303696559e-19,4.1522155213782353e-22,61,ABF3,abscisic acid responsive elements-binding factor 3,"AtABF3--NA,   DPBF5--DC3 PROMOTER-BINDING FACTOR 5"
AT1G10120,217,217/920,3805/31393,8.620176221057728e-23,2.3128158903508687,1.164585807464899e-19,4.622917086293055e-22,62,CIB4,CRY2-interacting bHLH 4,NA
AT2G45680,207,207/920,3557/31393,1.0263673762360499e-22,2.350477178102732,1.3855959579186675e-19,5.416938930134708e-22,63,TCP9,TCP domain protein 9,NA
AT5G57150,203,203/920,3463/31393,1.275693556605809e-22,2.3632819387813173,1.7209106078612362e-19,6.627626680803617e-22,64,NA,NA,NA
AT1G13260,242,242/920,4468/31393,1.3581092695066795e-022,2.216777151227921,1.830731295295004e-19,6.947251263245706e-22,65,AtRAV1,NA,"EDF4--ETHYLENE RESPONSE DNA BINDING FACTOR 4,   RAV1--related to ABI3/VP1 1"
AT4G09180,114,114/920,1430/31393,2.2789655157644537e-22,3.1334945038857533,3.0697665497347194e-19,1.1481152030176982e-21,66,FBH2,FLOWERING BHLH 2,NA
AT4G36930,174,174/920,2774/31393,2.7189436612126503e-22,2.500362477850629,3.659698167992227e-19,1.3493265184376212e-21,67,SPT,SPATULA,NA
AT4G00050,207,207/920,3587/31393,2.843855926287168e-22,2.3270464617284876,3.8249862208562405e-19,1.3905619051330636e-21,68,PIF8,NA,UNE10--unfertilized embryo sac 10
AT5G48560,164,164/920,2555/31393,5.559106885151489e-22,2.547724106553557,7.471439653643601e-19,2.6788449845114055e-21,69,CIB2,CRY2-interacting bHLH 2,NA
AT3G56400,189,189/920,3164/31393,7.053955208168361e-22,2.3895843439790503,9.473461844570109e-19,3.3506287238799713e-21,70,ATWRKY70,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 70,WRKY70--WRKY DNA-binding protein 70
AT1G78700,167,167/920,2640/31393,9.707608165645279e-22,2.510946598176151,1.3027610158295964e-18,4.546168612784584e-21,71,BEH4,BES1/BZR1 homolog 4,NA
AT1G75240,190,190/920,3199/31393,1.0161804893827276e-21,2.375432744754771,1.3626980362622378e-18,4.692777954441068e-21,72,AtHB33,homeobox protein 33,"HB33--homeobox protein 33,   ZHD5--zinc-finger homeodomain 5"
AT3G47620,209,209/920,3679/31393,1.120086753675001e-21,2.287408582756923,1.5009162499245012e-18,5.10176500817723e-21,73,AtTCP14,"TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14","TCP14--TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14"
AT2G04038,169,169/920,2693/31393,1.1971839401272269e-21,2.4917583482083865,1.6030292958303567e-18,5.379238649895986e-21,74,AtbZIP48,basic leucine-zipper 48,bZIP48--basic leucine-zipper 48
AT2G18160,219,219/920,3963/31393,2.6535891982055055e-21,2.2302755289051426,3.550502347198966e-18,1.1764245445377741e-20,75,ATBZIP2,basic leucine-zipper 2,"bZIP2--basic leucine-zipper 2,   FTM3--FLORAL TRANSITION AT THE MERISTEM3,   GBF5--G-BOX BINDING FACTOR 5"
AT1G55110,234,234/920,4363/31393,3.3041101657362012e-21,2.1762837061494915,4.417595291589301e-18,1.4455481975095876e-20,76,AtIDD7,indeterminate(ID)-domain 7,"IDD7--indeterminate(ID)-domain 7,   REDSTART--NA"
AT4G36780,186,186/920,3136/31393,3.5939753577966274e-21,2.364079529643074,4.801551078016294e-18,1.551943904503089e-20,77,BEH2,BES1/BZR1 homolog 2,NA
AT3G54990,119,119/920,1587/31393,3.801177031368605e-21,2.9351916001356306,5.074571336877088e-18,1.620373542218027e-20,78,SMZ,SCHLAFMUTZE,NA
AT5G65790,167,167/920,2681/31393,4.714631970031329e-21,2.4663818076762487,6.289319048021793e-18,1.98432294941192e-20,79,ATMYB68,MYB DOMAIN PROTEIN 68,MYB68--myb domain protein 68
AT2G28810,186,186/920,3150/31393,5.861242660901738e-21,2.35173653568245,7.813036466982016e-18,2.4360789809372847e-20,80,NA,NA,NA
AT4G18890,179,179/920,2979/31393,6.177349524659549e-21,2.3871861313184897,8.22822956684652e-18,2.5357638480855555e-20,81,BEH3,BES1/BZR1 homolog 3,NA
AT4G36540,135,135/920,1956/31393,9.630614045292584e-21,2.7056135732815987,1.2818347294284429e-17,3.9050965488533947e-20,82,BEE2,BR enhanced expression 2,NA
AT4G33280,204,204/920,3619/31393,1.0015280937478959e-20,2.2573300228477864,1.3320323646847015e-17,4.012145676761149e-20,83,NA,NA,NA
AT1G01250,203,203/920,3607/31393,1.5466539301210122e-20,2.2512620538862262,2.055503073130825e-17,6.011265121983205e-20,84,NA,NA,NA
AT1G77920,182,182/920,3079/31393,1.5543385263524266e-20,2.3473182424393597,2.0641615629960225e-17,6.011265121983205e-20,85,TGA7,TGACG sequence-specific binding protein 7,NA
AT3G08500,161,161/920,2569/31393,1.554793384934002e-20,2.4721511648406205,2.0641615629960225e-17,6.011265121983205e-20,86,AtMYB83,myb domain protein 83,MYB83--myb domain protein 83
AT1G35460,131,131/920,1878/31393,1.6023599225578428e-20,2.7297299531785018,2.1247292573116994e-17,6.123961772994054e-20,87,CFLAP2,AtCFL1 associated protein 2,FBH1--FLOWERING BHLH 1
AT3G54320,164,164/920,2650/31393,2.210030809614e-20,2.4420803263253954,2.9282908227385504e-17,8.350400502234716e-20,88,ASML1,ACTIVATOR OF SPO(MIN)::LUC1,"ATWRI1--NA,   WRI--WRINKLED,   WRI1--WRINKLED 1"
AT5G60970,196,196/920,3448/31393,2.872579016228233e-20,2.2659766588798202,3.8032946174861804e-17,1.0731826099953792e-19,89,TCP5,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5",NA
AT2G01940,207,207/920,3731/31393,3.039228141155515e-20,2.220102905022538,4.0208988307487466e-17,1.122825952149121e-19,90,ATIDD15,ARABIDOPSIS THALIANA INDETERMINATE(ID)-DOMAIN 15,"IDD15--INDETERMINATE(ID)-DOMAIN 15,   SGR5--SHOOT GRAVITROPISM 5"
AT1G64620,167,167/920,2744/31393,4.9183777609702245e-20,2.400668237773906,6.502095400002637e-17,1.7970995665083512e-19,91,DOF1.8,NA,NA
AT5G10030,160,160/920,2589/31393,8.184011813332139e-20,2.4305333573272874,1.0811079605411755e-16,2.9578086173184086e-19,92,OBF4,OCS ELEMENT BINDING FACTOR 4,TGA4--TGACG motif-binding factor 4
AT3G50700,220,220/920,4112/31393,1.0849351836903424e-19,2.1463991214361973,1.432114442471252e-16,3.8789349309359015e-19,93,AtIDD2,indeterminate(ID)-domain 2,IDD2--indeterminate(ID)-domain 2
AT4G17880,163,163/920,2673/31393,1.2623937364478724e-19,2.3987494203993807,1.6650973383747439e-16,4.465382099669336e-19,94,MYC4,NA,NA
AT3G45610,190,190/920,3343/31393,1.3223389443171708e-19,2.2551325804294393,1.742842728610031e-16,4.6247613674303635e-19,95,DOF6,DOF transcription factor 6,NA
AT3G49690,150,150/920,2364/31393,1.3352694474385412e-19,2.4863481604839555,1.7585498622765586e-16,4.6247613674303635e-19,96,ATMYB84,MYB DOMAIN PROTEIN 84,"MYB84--myb domain protein 84,   RAX3--REGULATOR OF AXILLARY MERISTEMS3,   SKI2--NA"
AT2G18300,190,190/920,3347/31393,1.5051486546399826e-19,2.2518168913844767,1.980775629506217e-16,5.159401316162827e-19,97,HBI1,HOMOLOG OF BEE2 INTERACTING WITH IBH 1,NA
AT2G02080,234,234/920,4500/31393,1.6879319107708156e-19,2.095456723670946,2.2196304626636226e-16,5.726911840115266e-19,98,AtIDD4,indeterminate(ID)-domain 4,"IDD4--indeterminate(ID)-domain 4,   IME--IMPERIAL EAGLE"
AT2G45660,222,222/920,4182/31393,1.7854646603476233e-19,2.129361059445754,2.346100563696777e-16,5.996636359248331e-19,99,AGL20,AGAMOUS-like 20,"ATSOC1--SUPPRESSOR OF OVEREXPRESSION OF CO 1,   SOC1--SUPPRESSOR OF OVEREXPRESSION OF CO 1"
AT5G58900,128,128/920,1872/31393,2.4620788596930165e-19,2.662082857610957,3.2327095427769307e-16,8.186412208479279e-19,100,DIV1,DIVARICATA1,NA
AT1G77200,150,150/920,2383/31393,2.7853587733380595e-19,2.4635358692484317,3.654390710619534e-16,9.169621704305987e-19,101,NA,NA,NA
AT3G15170,135,135/920,2034/31393,2.8283152915567484e-19,2.5875373799788015,3.707921347230897e-16,9.219753278849202e-19,102,ANAC054,Arabidopsis NAC domain containing protein 54,"ATNAC1--NA,   CUC1--CUP-SHAPED COTYLEDON1"
AT5G23280,172,172/920,2917/31393,2.959548953174141e-19,2.3226227617423967,3.8770091286581245e-16,9.470627235115904e-19,103,AtTCP7,NA,TCP7--TCP domain protein 7
AT1G06850,125,125/920,1809/31393,2.9622413006076817e-19,2.687694699668328,3.877573862495455e-16,9.470627235115904e-19,104,AtbZIP52,basic leucine-zipper 52,bZIP52--basic leucine-zipper 52
AT5G61270,203,203/920,3709/31393,3.7130246876137286e-19,2.1776281309282126,4.856636291398757e-16,1.1671154611310543e-18,105,PIF7,phytochrome-interacting factor7,NA
AT3G19500,52,52/920,404/31393,3.720728988868926e-19,5.125513915586273,4.862992788451686e-16,1.1671154611310543e-18,106,NA,NA,NA
AT5G10140,185,185/920,3250/31393,3.9064177587714207e-19,2.2506840399474575,5.101781592955476e-16,1.2139101913939227e-18,107,AGL25,AGAMOUS-like 25,"FLC--FLOWERING LOCUS C,   FLF--FLOWERING LOCUS F,   RSB6--REDUCED STEM BRANCHING 6"
AT3G18990,223,223/920,4237/31393,4.024734218245963e-19,2.1089059099216207,5.252278154810982e-16,1.2390964144136876e-18,108,REM39,REPRODUCTIVE MERISTEM 39,VRN1--REDUCED VERNALIZATION RESPONSE 1
AT3G45150,194,194/920,3487/31393,5.040432543584328e-19,2.205506804325704,6.572724036833964e-16,1.5375631382952191e-18,109,TCP16,TCP domain protein 16,NA
AT1G53230,195,195/920,3515/31393,5.422280480417568e-19,2.1996926178745144,7.065231465984091e-16,1.6390075088534922e-18,110,TCP3,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 3",NA
AT3G25730,133,133/920,2014/31393,8.305383336454536e-19,2.568680596442479,1.0813609104063806e-15,2.487873837271291e-18,111,EDF3,ethylene response DNA binding factor 3,NA
AT5G02460,194,194/920,3504/31393,8.537474135804496e-19,2.1928078926001375,1.110725385068165e-15,2.534562634066959e-18,112,PEAR2,PHLOEM EARLY DOF 2,NA
AT3G01470,119,119/920,1702/31393,9.707111009418593e-19,2.711356661649168,1.261924431224417e-15,2.8562959386121078e-18,113,AT3G01472.1,NA,"ATHB-1--homeobox 1,   ATHB1--ARABIDOPSIS THALIANA HOMEOBOX 1,   CPuORF33--conserved peptide upstream open reading frame 33,   HAT5--HOMEODOMAIN PROTEIN FROM ARABIDOIPSIS THALIANA 5,   HB-1--homeobox 1,   HD-ZIP-1--NA"
AT2G40620,119,119/920,1706/31393,1.1640134529841099e-18,2.704171461781738,1.5120534754263588e-15,3.3950392378703204e-18,114,bZIP18,basic leucine-zipper 18,NA
AT3G20770,150,150/920,2422/31393,1.219404963902202e-18,2.417906554543687,1.5827876431450581e-15,3.525670873891149e-18,115,AtEIN3,NA,EIN3--ETHYLENE-INSENSITIVE3
AT5G46760,138,138/920,2140/31393,1.270075900588871e-18,2.5095256479068824,1.6472884430637656e-15,3.640519284015514e-18,116,MYC3,NA,NA
AT1G16490,126,126/920,1866/31393,1.3465991387387573e-18,2.6203040468231986,1.7451924838054295e-15,3.826873620774673e-18,117,ATMYB58,MYB DOMAIN PROTEIN 58,MYB58--myb domain protein 58
AT1G72010,150,150/920,2426/31393,1.415338856383528e-18,2.4133150648634634,1.8328638190166688e-15,3.9881370317586696e-18,118,AtTCP22,NA,TCP22--TCP domain protein 22
AT2G38090,120,120/920,1733/31393,1.4446546382518324e-18,2.683500225729685,1.869383101897871e-15,4.036535018644825e-18,119,NA,NA,NA
AT4G17460,57,57/920,496/31393,1.5615697471343431e-18,4.518196748259667,2.0191096830447055e-15,4.326849507684742e-18,120,HAT1,NA,JAB--JAIBA
AT1G45249,193,193/920,3503/31393,1.823021891559086e-18,2.178505040234098,2.3553442838943394e-15,5.0095436276313725e-18,121,ABF2,abscisic acid responsive elements-binding factor 2,"AREB1--ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING PROTEIN 2,   AtABF2--NA,   ATAREB1--NA"
AT3G18400,153,153/920,2508/31393,2.0427969289408094e-18,2.3816217491156166,2.637250835262585e-15,5.567458843219829e-18,122,anac058,NAC domain containing protein 58,NAC058--NAC domain containing protein 58
AT1G73830,145,145/920,2317/31393,2.0652089713761915e-18,2.4377593999224403,2.664119573075287e-15,5.582780349451899e-18,123,BEE3,BR enhanced expression 3,NA
AT1G34670,137,137/920,2136/31393,2.7334219815147754e-18,2.4921445533482744,3.5233809341725456e-15,7.329538781077926e-18,124,AtMYB93,myb domain protein 93,MYB93--myb domain protein 93
AT5G44080,178,178/920,3147/31393,4.2018600823083504e-18,2.2221983216671224,5.411995786013155e-15,1.117694781894021e-17,125,NA,NA,NA
AT3G16280,131,131/920,2011/31393,4.8483134005383634e-18,2.525083511962715,6.2397793464928734e-15,1.2794160362531791e-17,126,NA,NA,NA
AT4G38910,173,173/920,3028/31393,5.260965524295323e-18,2.2402022757031577,6.765601664243785e-15,1.3773787691560589e-17,127,ATBPC5,NA,"BBR/BPC5--NA,   BPC5--basic pentacysteine 5"
AT3G62420,173,173/920,3029/31393,5.434345212601577e-18,2.2393419264662744,6.983133598193026e-15,1.4116560806172065e-17,128,ATBZIP53,basic region/leucine zipper motif 53,BZIP53--basic region/leucine zipper motif 53
AT1G69570,205,205/920,3864/31393,7.5912134719102e-18,2.1010457644723246,9.747118097932696e-15,1.9566499840388693e-17,129,CDF5,CYCLING DOF FACTOR 5,NA
AT5G28770,145,145/920,2352/31393,7.650753974499047e-18,2.3961350939262185,9.815917349282278e-15,1.956827458862256e-17,130,AtbZIP63,Arabidopsis thaliana basic leucine zipper 63,BZO2H3--NA
AT5G15150,89,89/920,1109/31393,9.000002137114298e-18,3.092359317158692,1.153800273978053e-14,2.2843516874736672e-17,131,ATHB-3,homeobox 3,"ATHB3--NA,   HAT7--HOMEOBOX FROM ARABIDOPSIS THALIANA 7,   HB-3--homeobox 3"
AT5G07680,152,152/920,2528/31393,9.961349489916208e-18,2.340476559031937,1.2760488696582662e-14,2.5092035646948022e-17,132,ANAC079,Arabidopsis NAC domain containing protein 79,"ANAC080--NAC domain containing protein 80,   ATNAC4--NA,   NAC080--NAC domain containing protein 80,   NAC4--NA"
AT4G38620,129,129/920,1984/31393,1.0535762182937045e-17,2.5158710507516076,1.3485775594159417e-14,2.6339405457342608e-17,133,ATMYB4,myb domain protein 4,MYB4--myb domain protein 4
AT4G36730,145,145/920,2363/31393,1.146231551538613e-17,2.3833245301968784,1.466030154417886e-14,2.8441939618402147e-17,134,AtGBF1,NA,GBF1--G-box binding factor 1
AT3G01970,198,198/920,3704/31393,1.5029376344901504e-17,2.1092911839240913,1.9207542968784122e-14,3.701679729392407e-17,135,ATWRKY45,WRKY DNA-BINDING PROTEIN 45,WRKY45--WRKY DNA-binding protein 45
