gene_id,withPeakN,sumRP,RP_rank,log2FoldChange,padj,diff_rank,rankProduct,rankOf_rankProduct,gene_category,symbol,fullname,Second
AT3G15370,2,2.1061524420454116,252,5.041653146904033,1.3691541207707922e-35,17,4284,27,up,ATEXP12,NA,"ATEXPA12--expansin 12,   ATHEXP ALPHA 1.24--NA,   EXP12--EXPANSIN 12,   EXPA12--expansin 12"
AT4G27140,5,3.18462709944319,78,5.038552080721022,1.0050156936639763e-17,55,4290,28,up,AT2S1,NA,SESA1--seed storage albumin 1
AT5G38743,3,4.1625431734293015,21,2.7228887651569744,1.5814828218973812e-5,213,4473,29,up,NA,NA,NA
AT5G02230,8,3.9801970846887147,29,1.593085160825158,2.2982240018713475e-7,157,4553,30,up,NA,NA,NA
AT2G33020,1,2.12833661137997,243,5.796276723531765,1.5970829490657724e-34,19,4617,31,up,AtRLP24,receptor like protein 24,RLP24--receptor like protein 24
AT4G27160,5,6.451919974992158,5,0.11646802250047161,0.7106537392962106,963,4815,32,static,AT2S3,NA,SESA3--seed storage albumin 3
AT5G08450,6,5.802785554128391,7,0.017741937498613802,0.2599426239988278,705,4935,33,static,HDC1,Histone Deacetylation Complex 1,RXT3-like--RXT3-like
AT5G55620,3,3.4466702452585687,55,2.719720459200762,1.5981678933796255e-10,96,5280,34,up,NA,NA,NA
AT5G45830,2,2.067250995169141,267,5.986002608876765,1.2835058876414617e-30,20,5340,35,up,ATDOG1,NA,"DOG1--DELAY OF GERMINATION 1,   GAAS5--germination ability after storage 5,   GSQ5--GLUCOSE SENSING QTL 5"
AT3G02170,5,5.177735515643058,8,0.10469935755928812,0.3121525295254978,730,5840,36,static,LNG2,LONGIFOLIA2,TRM1--TON1 Recruiting Motif 1
AT2G44798,3,4.01959505430168,27,2.1821792215562366,4.9225315364036586e-5,238,6426,37,up,NA,NA,NA
AT2G09130,4,4.429921255031545,16,2.1511105761784273,0.01911589748303108,441.5,7064,38,up,NA,NA,NA
AT2G07435,2,1.2846892084707138,810,3.073182473577167,5.435366522369093e-50,9,7290,39,up,NA,NA,NA
AT4G27150,5,4.762983012941739,12,0.4882292210235356,0.16541328482586284,638.5,7662,40,static,AT2S2,NA,SESA2--seed storage albumin 2
AT5G61610,4,2.4814428006593747,179,2.512938103111785,2.629423252938077e-21,43,7697,41,up,NA,NA,NA
AT4G30064,6,4.377637719096719,18,1.4228722872855493,0.016415400484079926,434,7812,42,up,LCR61,low-molecular-weight cysteine-rich 61,NA
AT4G21370,1,2.009208540440561,294,7.15635557400472,2.3236556549133484e-26,28,8232,43,up,PSEUDOSRKA,pseudogene of S-locus receptor kinase a,NA
AT5G13790,3,1.908097635356207,349,2.5192276261047075,1.0540001923520553e-28,24,8376,44,up,AGL15,AGAMOUS-like 15,NA
AT5G52882,3,2.0905492801854066,257,1.7066314800697435,2.4165275316930797e-23,35,8995,45,up,NA,NA,NA
AT5G09615,3,4.08527720387849,22,2.363799592492031,0.015655169067668836,430,9460,46,up,NA,NA,NA
AT1G62500,3,1.7947629328767774,412,2.884164683347174,5.454661266293263e-27,26,10712,47,up,NA,NA,NA
AT1G20790,1,1.1676039847095137,920,6.210698725041622,5.385378062248573e-39,12,11040,48,up,NA,NA,NA
AT1G21360,3,3.571519025937496,45,1.8718667842300722,8.64560930823923e-5,246,11070,49,up,GLTP2,glycolipid transfer protein 2,NA
AT3G46613,1,2.303140508207158,206,4.1680110417467136,1.8285046996214563e-17,57,11742,50,up,DVL15,DEVIL 15,RTFL4--ROTUNDIFOLIA like 4
AT2G42990,3,2.7656593455987415,133,3.636116419324325,1.912900064674788e-11,89,11837,51,up,NA,NA,NA
AT3G51150,2,1.8310590484589835,384,1.5289659347089635,5.577669112512975e-25,31,11904,52,up,NA,NA,NA
AT5G25190,7,3.8560442834758843,34,1.6106135679985152,0.006559538174406578,366,12444,53,up,ESE3,ethylene and salt inducible 3,NA
AT5G20700,6,3.1845904264988287,79,1.3998888339414934,2.9756976014496314e-7,159,12561,54,up,NA,NA,NA
AT2G09135,4,4.034195652145145,26,1.4854748413098067,0.03794228616085087,485,12610,55,up,NA,NA,NA
AT5G07530,5,2.1494398372122294,239,4.866964621224052,1.5558351317426517e-16,58,13862,56,up,ATGRP-7,ARABIDOPSIS THALIANA GLYCINE RICH PROTEIN 7,"ATGRP17--ARABIDOPSIS THALIANA GLYCINE RICH PROTEIN 17,   GRP17--glycine rich protein 17"
AT4G27170,5,3.8881530194388687,32,1.679750211983548,0.01878396786171769,440,14080,57,up,AT2S4,NA,SESA4--seed storage albumin 4
AT5G66360,3,4.081072702037565,23,0.11120502828637106,0.1524085075255264,623,14329,58,static,DIM1B,adenosine dimethyl transferase 1B,NA
AT3G01190,3,3.560421515725472,47,0.9634292192385211,0.0013644719430700334,308,14476,59,static,NA,NA,NA
AT5G58910,3,1.8440290365722989,376,2.7228027903048897,3.2889463092143774e-22,39,14664,60,up,LAC16,laccase 16,NA
AT4G22050,1,1.6120383278086918,520,7.2597775507286935,3.1220027068432126e-26,29,15080,61,up,NA,NA,NA
AT2G47030,3,1.72602209519974,444,6.726691319540868,1.3039803665123112e-23,34,15096,62,up,VGDH1,NA,NA
AT3G17609,3,3.1856595129838037,77,2.894291849143278,5.577536507196971e-6,198,15246,63,up,HYH,HY5-homolog,NA
AT3G04190,4,2.9771709207357713,101,5.920305765430887,2.07134293084009e-7,153,15453,64,up,NA,NA,NA
AT3G12610,4,3.794404607760284,35,0.8674384111780453,0.019357866882241878,446,15610,65,static,DRT100,DNA-DAMAGE REPAIR/TOLERATION 100,NA
AT4G03050,5,1.919601665188893,346,5.033594254893738,3.2456846627408964e-20,46,15916,66,up,AOP3,NA,NA
AT1G70270,5,3.22043610907872,72,2.3092045089227566,2.944785282577995e-5,224,16128,67,up,NA,NA,NA
AT1G22400,3,2.3915587995825938,187,1.3877318637975256,1.881095091834145e-11,88,16456,68,up,ATUGT85A1,ARABIDOPSIS THALIANA UDP-GLUCOSYL TRANSFERASE 85A1,UGT85A1--NA
AT3G15095,3,2.9407443264598885,105,1.0854320099588615,4.3781327283456117e-7,162,17010,69,up,HCF243,high chlorophyll fluorescence 243,NA
AT2G40260,4,2.6671168895475357,144,2.4404873721271767,5.3382466204807814e-9,120,17280,70,up,NA,NA,NA
AT4G33420,3,3.523571511812329,51,1.7865698293550525,0.0035324588416448927,346,17646,71,up,Prx47,Peroxidase 47,NA
AT2G39350,2,3.2865561076020966,65,1.6843148249670619,3.774177592946525e-4,277,18005,72,up,ABCG1,ATP-binding cassette G1,WBC1--White Brown Complex 1
AT5G39240,3,2.5775409487956735,161,2.6805948895359446,1.4858123614561167e-9,114,18354,73,up,NA,NA,NA
AT2G47040,3,2.4394011430707834,183,5.984402470751936,3.365340558958125e-10,101,18483,74,up,VGD1,VANGUARD1,NA
AT2G39880,2,1.5378723347560022,579,1.6436101418629034,3.792795665365392e-24,32,18528,75,up,AtMYB25,myb domain protein 25,MYB25--myb domain protein 25
AT5G23380,5,2.2645566850670136,215,1.8192276789691206,6.49156302682925e-11,93,19995,76,up,NA,NA,NA
AT5G08470,6,6.51049864164076,4,3.8541338202479134e-4,0.9999650917215911,5030.5,20122,77,static,EMB2817,EMBRYO DEFECTIVE 2817,PEX1--peroxisome 1
AT2G28610,3,2.8340956533270436,127,3.481668170732914,4.183475990594197e-7,161,20447,78,up,PRS,PRESSED FLOWER,"PRS1--PRESSED FLOWER 1,   WOX3--WUSCHEL RELATED HOMEOBOX 3"
AT1G13740,4,2.586200612873037,159,1.5690815385307888,1.6749230303073094e-8,129,20511,79,up,AFP2,ABI five binding protein 2,NA
AT1G74670,3,2.41549816368716,185,4.351494502455903,1.1051357289125288e-9,112,20720,80,up,GASA6,GA-stimulated Arabidopsis 6,NA
AT3G54940,3,2.599618491908608,155,4.3218463697665,5.511145554039802e-8,135,20925,81,up,NA,NA,NA
AT4G27460,2,2.847018024833733,123,2.1348330128286266,1.4442482595309799e-6,175,21525,82,up,CBSX5,CBS domain containing protein 5,NA
AT3G10340,1,1.2919345665643767,799,3.125650835263138,1.8347894493046125e-26,27,21573,83,up,PAL4,phenylalanine ammonia-lyase 4,NA
AT4G02780,2,0.17018654225993585,4373,3.7223246738534272,5.204474502679719e-59,5,21865,84,up,ABC33,NA,"ATCPS1--ARABIDOPSIS THALIANA ENT-COPALYL DIPHOSPHATE SYNTHETASE 1,   CPS--CPP synthase,   CPS1--ENT-COPALYL DIPHOSPHATE SYNTHETASE 1,   GA1--GA REQUIRING 1"
AT1G70260,5,2.2261052746821575,221,2.8453420281612023,2.612438311310176e-10,99,21879,85,up,RTP1,Resistance to Phytophthora parasitica 1,UMAMIT36--Usually multiple acids move in and out Transporters 36
AT5G38747,3,2.311158967476101,205,3.3032106152610017,6.391587638404154e-10,109,22345,86,up,NA,NA,NA
AT1G19900,4,2.6140294979388745,154,3.2866991592946158,1.0071310029864475e-7,146,22484,87,up,RUBY,RUBY PARTICLES IN MUCILAGE,NA
AT3G02140,3,3.3777574158705024,60,0.6347609876807961,0.011653752625635934,412,24720,88,static,AFP4,ABI FIVE BINDING PROTEIN 4,TMAC2--TWO OR MORE ABRES-CONTAINING GENE 2
AT5G51210,2,1.8159251873048203,394,3.3499782395551834,4.181712786256375e-15,63,24822,89,up,OLEO3,oleosin3,NA
AT4G14723,1,0.6889909231900361,1998,3.074175457281443,5.4378238096181356e-39,13,25974,90,up,CLL2,CHALLAH-LIKE 2,EPFL4--epidermal patterning factor like 4
AT2G35910,6,3.2718624200582638,68,0.7645095027522074,0.008134723828271113,382,25976,91,static,NA,NA,NA
AT5G07560,8,1.7542295763471296,432,5.126288956973381,1.5482076131569081e-15,62,26784,92,up,ATGRP20,NA,GRP20--glycine-rich protein 20
AT4G24110,3,3.566699459755825,46,0.3304743769060739,0.13886050257812876,615,28290,93,static,NA,NA,NA
AT4G18220,2,1.6166609394113043,514,2.192280177981381,1.1532473397128852e-17,56,28784,94,up,NA,NA,NA
AT3G60290,3,2.7919739703908037,131,1.427450225820009,2.6646020370018076e-5,221.5,29016.5,95,up,NA,NA,NA
AT2G34870,2,1.9899298656472817,301,2.3539646556871094,2.034766450755315e-10,97,29197,96,up,MEE26,maternal effect embryo arrest 26,NA
AT4G03038,3,2.1119606512035913,249,7.232761984638425,3.5845048835372365e-9,118,29382,97,up,NA,NA,NA
AT3G52525,2,2.5726385070468405,163,2.2571771865298644,2.827897728447608e-6,181,29503,98,up,ATOFP6,ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 6,OFP6--ovate family protein 6
AT3G21370,3,2.8988197968876768,116,2.5614359610860356,1.7678323827872725e-4,257.5,29870,99,up,BGLU19,beta glucosidase 19,NA
AT1G68510,6,2.2798918678279607,213,3.87121973658202,9.124557598375144e-8,143.5,30565.5,100,up,LBD42,LOB domain-containing protein 42,NA
AT4G19230,4,2.2247463339614275,222,1.5440494452556803,6.162209787670304e-8,138,30636,101,up,CYP707A1,"cytochrome P450, family 707, subfamily A, polypeptide 1",NA
AT1G68526,5,2.5696473062116025,164,6.022312931664919,5.260805944193802e-6,193,31652,102,up,NA,NA,NA
AT5G14120,2,1.8087084041673,402,1.6569391865759155,7.519191112207922e-13,80,32160,103,up,NA,NA,NA
AT3G59010,3,1.1861747744830358,891,4.2518707619459795,1.8903540986022244e-22,37,32967,104,up,PME35,pectin methylesterase 35,PME61--pectin methylesterase 61
AT4G03040,3,2.318499488616296,203,6.0881882644968615,7.743309565305809e-7,167,33901,105,up,NA,NA,NA
AT5G05785,3,3.9519802085097893,30,0.0765834782119652,0.9904488419575374,1135,34050,106,static,NA,NA,NA
AT5G05440,4,3.37721121853141,62,0.17126061210346755,0.08093436803651347,552,34224,107,static,AtPYL5,NA,"PYL5--PYRABACTIN RESISTANCE 1-LIKE 5,   RCAR8--regulatory component of ABA receptor 8"
AT4G04840,3,1.7023605480727144,458,3.1758653686609417,3.9127957936743667e-13,77.5,35495,108,up,ATMSRB6,methionine sulfoxide reductase B6,MSRB6--methionine sulfoxide reductase B6
AT4G10240,1,1.6804988518057238,470,3.2604325711899595,3.9127957936743667e-13,77.5,36425,109,up,bbx23,B-box domain protein 23,NA
AT2G36500,2,3.280406594858981,66,0.6164719181489932,0.08198786320502598,553,36498,110,static,NA,NA,NA
AT4G11040,3,3.1955830574675375,75,1.296660976946261,0.03929675598587635,491,36825,111,up,DOG18,DELAY OF GERMINATION 18,RDO5--REDUCED DORMANCY 5
AT4G18650,5,2.847871666400808,122,3.0763502485418512,0.001112143069740044,302,36844,112,up,DOGL4,DOG1-Like 4,NA
AT1G06160,5,1.2608154913442042,829,2.8196599455531497,1.5739647647599956e-20,45,37305,113,up,ERF59,ethylene responsive factor 59,ORA59--octadecanoid-responsive Arabidopsis AP2/ERF 59
AT4G09820,3,2.9726872704475347,102,1.196345188147871,0.0069567239743301935,370,37740,114,up,AtTT8,NA,"BHLH42--NA,   TT8--TRANSPARENT TESTA 8"
AT2G08870,3,2.979651888188382,100,2.6504761864945157,0.011079468908415319,405.5,40550,115,up,NA,NA,NA
AT5G46890,4,1.5704951525386401,559,3.29080895963852,1.2295814862026002e-13,73,40807,116,up,NA,NA,NA
AT4G12410,2,1.1703271490306402,916,3.1649997116590094,1.8664553436716052e-19,47,43052,117,up,SAUR35,SMALL AUXIN UPREGULATED RNA 35,NA
AT1G07570,3,2.745080652592091,134,1.0726789908389707,0.0019686363092878936,322.5,43215,118,up,APK1,NA,APK1A--NA
AT4G30610,4,3.047635479939091,91,0.3326014898363013,0.033711131863179124,479,43589,119,static,BRS1,BRI1 SUPPRESSOR 1,SCPL24--SERINE CARBOXYPEPTIDASE 24 PRECURSOR
AT4G19690,3,0.767385324024621,1751,6.382651897283595,1.3743631407333243e-28,25,43775,120,up,ATIRT1,ARABIDOPSIS IRON-REGULATED TRANSPORTER 1,IRT1--iron-regulated transporter 1
AT1G10560,2,1.7445372567425705,435,1.4215677890830027,3.8653010035572886e-10,104,45240,121,up,ATPUB18,ARABIDOPSIS THALIANA PLANT U-BOX 18,PUB18--plant U-box 18
AT4G37590,6,5.156131451926287,9,0.0015482527872412713,0.9999650917215911,5030.5,45274.5,122,static,MEL1,MAB4/ENP/NPY1-LIKE 1,NPY5--NAKED PINS IN YUC MUTANTS 5
AT5G13910,1,1.1474741820725143,951,4.821569944651067,1.136478931830379e-18,48,45648,123,up,LEP,LEAFY PETIOLE,NA
AT3G57020,3,2.2572362772959664,217,1.629140518185266,1.4899015939993512e-5,211,45787,124,up,NA,NA,NA
AT3G58790,3,1.9439770455973773,331,1.4079589558558543,6.325581274228791e-8,139,46009,125,up,GAUT15,galacturonosyltransferase 15,NA
AT4G37608,6,3.140187420100943,83,0.3955200816118446,0.08751879109885248,558,46314,126,static,NA,NA,NA
AT3G28155,2,1.9485284184282454,329,3.402464102438387,9.124557598375144e-8,143.5,47211.5,127,up,NA,NA,NA
AT5G11320,4,2.0718400566770496,265,3.327885466274486,4.8122457527681795e-6,190,50350,128,up,AtYUC4,NA,YUC4--YUCCA4
AT5G58620,7,1.4557112905262848,640,1.1419573641877236,1.3411171025335908e-12,83,53120,129,up,TZF9,tandem zinc finger protein 9,NA
AT4G19430,2,1.0536759895528376,1081,6.818746941711964,3.631001324030005e-18,50,54050,130,up,NA,NA,NA
AT5G13250,6,1.3003146725645727,790,1.9127561435004317,6.074379264919153e-14,70,55300,131,up,NA,NA,NA
AT1G21010,3,1.027644516892495,1130,1.5877949044921553,1.2841640967103327e-18,49,55370,132,up,NA,NA,NA
AT3G27785,3,1.352363120355518,740,3.28170847735884,2.326251853375819e-13,75.5,55870,133,up,ATMYB118,NA,"MYB118--myb domain protein 118,   PGA37--PLANT GROWTH ACTIVATOR 37"
AT2G46370,2,0.8915111886673244,1399,1.1380542816425445,5.9304910040226675e-22,40,55960,134,up,AtGH3.11,NA,"FIN219--FAR-RED INSENSITIVE 219,   JAR1--JASMONATE RESISTANT 1"
AT5G19220,5,3.4410323855366705,56,0.03851043763268684,0.7834088933581128,1002.5,56140,135,static,ADG2,ADP GLUCOSE PYROPHOSPHORYLASE 2,APL1--ADP glucose pyrophosphorylase large subunit 1
AT4G37550,6,1.8390794888896056,378,1.0651379479470517,1.359515622182755e-7,149,56322,136,up,NA,NA,NA
AT1G80830,3,2.1743356583669824,232,0.5811634284469906,7.086528812558381e-5,243,56376,137,static,ATNRAMP1,NA,"NRAMP1--natural resistance-associated macrophage protein 1,   PMIT1--NA"
AT1G26920,4,2.732790240980424,135,1.0837798051585164,0.014725698165133824,425,57375,138,up,NA,NA,NA
AT2G34710,6,2.8452930315292186,124,0.370539375948433,0.029444888892869957,472,58528,139,static,ATHB-14,NA,"ATHB14--ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 14,   PHB--PHABULOSA,   PHB-1D--PHABULOSA 1D"
AT5G04470,6,3.243773828619721,70,0.11275588670586198,0.4954800634072847,845.5,59185,140,static,SIM,SIAMESE,NA
AT3G25730,3,2.43592975696514,184,0.9911747303307016,0.0025315526511872325,332,61088,141,static,EDF3,ethylene response DNA binding factor 3,NA
AT2G47560,2,1.0045096022641864,1172,5.189163206737949,4.753736974307198e-18,53,62116,142,up,NA,NA,NA
AT5G64570,5,2.5266685706056724,173,1.7079730144114218,0.006653860540847614,368.5,63750.5,143,up,ATBXL4,ARABIDOPSIS THALIANA BETA-D-XYLOSIDASE 4,XYL4--beta-D-xylosidase 4
AT2G38320,5,2.461190789093237,181,1.1558178500701317,0.006204340276901552,363,65703,144,up,TBL34,TRICHOME BIREFRINGENCE-LIKE 34,NA
AT5G50361,2,2.283193232323103,211,2.4989118899839817,0.0019686363092878936,322.5,68047.5,145,up,NA,NA,NA
AT1G49160,2,2.1550266558976547,237,1.4418081679038788,6.165294603332839e-4,288,68256,146,up,WNK7,NA,NA
AT1G76220,1,2.180398522125894,229,0.7191927765598544,9.679022617104695e-4,299,68471,147,static,NA,NA,NA
AT2G27035,1,1.9868800488760003,304,3.20146342744795,3.2088840720235516e-5,227,69008,148,up,AtENODL20,NA,ENODL20--early nodulin-like protein 20
AT2G37380,3,1.0852277398755443,1024,2.0242698019291456,4.305033942402177e-14,67.5,69120,149,up,MAKR3,MEMBRANE-ASSOCIATED KINASE REGULATOR 3,NA
AT3G03910,1,1.5064382929056905,601,2.9782215878114724,1.5243933138289703e-9,116,69716,150,up,GDH3,glutamate dehydrogenase 3,NA
AT3G54270,1,1.423622301231734,668,1.0561327934432951,5.031004171312919e-10,107,71476,151,up,NA,NA,NA
AT1G13245,6,2.7245707005957,139,0.2982294693019303,0.05897482700398489,523,72697,152,static,DVL4,DEVIL 4,RTFL17--ROTUNDIFOLIA like 17
AT2G38920,3,1.8928108954081784,354,1.4003161865368365,9.836226347190548e-6,206,72924,153,up,NA,NA,NA
AT1G61740,3,2.4130581687872414,186,0.9489763898876914,0.009781797196005011,393.5,73191,154,static,NA,NA,NA
AT1G01490,4,2.2423890001247946,220,0.5603610183207635,0.0025498003728391533,333,73260,155,static,NA,NA,NA
AT1G72140,3,2.5938538241915516,157,0.8013932222309798,0.03610856943530964,481,75517,156,static,NPF5.12,NA,NA
AT5G27370,1,1.952664257667983,325,5.392933473969984,4.199386533527841e-5,233.5,75887.5,157,up,DMP10,DUF679 domain membrane protein 10,NA
AT1G16390,4,3.068483866292369,90,0.13448399711887213,0.4954800634072847,845.5,76095,158,static,ATOCT3,organic cation/carnitine transporter 3,OCT3--organic cation/carnitine transporter 3
AT5G03700,5,2.2635388700083445,216,0.5085007157262588,0.004890424413737883,357,77112,159,static,NA,NA,NA
AT2G43050,3,0.9434436269647132,1288,3.6101913329520854,2.593090498437938e-16,60,77280,160,up,ATPMEPCRD,NA,NA
AT1G68170,1,1.338916478767838,746,1.878508791137617,4.263467962198347e-10,105,78330,161,up,UMAMIT23,Usually multiple acids move in and out Transporters 23,NA
AT3G17611,2,1.6469849832170307,496,1.0597101595184093,2.844648527069377e-7,158,78368,162,up,ATRBL10,RHOMBOID-like protein 10,"ATRBL14--RHOMBOID-like protein 14,   RBL10--RHOMBOID-like protein 10,   RBL14--RHOMBOID-like protein 14"
AT5G05180,1,0.9950093842300789,1193,1.2597219694775545,1.2286677366091122e-14,66,78738,163,up,NA,NA,NA
AT1G30620,3,1.7268707562416195,443,1.2588444982271367,1.6676320329939064e-6,178,78854,164,up,HSR8,HIGH SUGAR RESPONSE8,"MUR4--MURUS 4,   UXE1--UDP-D-XYLOSE 4-EPIMERASE 1"
AT1G69850,5,1.926386889615906,342,1.103684288614482,4.199386533527841e-5,233.5,79857,165,up,AIT1,ABA-importing transporter 1,"AtNPF4.6--NA,   ATNRT1:2--nitrate transporter 1:2,   NPF4.6--NRT1/ PTR family 4.6,   NRT1.2--NA,   NRT1:2--nitrate transporter 1:2,   NTL1--NA"
AT2G45910,2,2.1065348598091846,251,0.7911605667766062,0.0019675541574401775,321,80571,166,static,NA,NA,NA
AT3G48350,3,2.059681588783685,274,1.7014265427806974,0.0010273065477865314,300,82200,167,up,CEP3,cysteine endopeptidase 3,NA
AT5G09440,6,1.8060678165965387,404,1.7886940635930093,1.383315348083616e-5,210,84840,168,up,EXL4,EXORDIUM like 4,NA
AT1G13510,2,2.064606517309667,268,1.2543552371137132,0.0017670385444231726,317,84956,169,up,NA,NA,NA
AT1G06080,2,2.298757948967987,207,1.8038669734013506,0.012096003389436574,418,86526,170,up,ADS1,delta 9 desaturase 1,AtADS1--NA
AT5G07500,2,0.9519211318413006,1269,3.427455863703753,4.656563368604939e-14,69,87561,171,up,AtTZF6,NA,"PEI1--NA,   TZF6--Tandem CCCH Zinc Finger protein 6"
AT4G26950,2,1.8199563072617047,393,2.1398290394350257,3.344263393501415e-5,228,89604,172,up,NA,NA,NA
AT4G23000,3,1.8350765616105653,380,0.9561589120473603,4.860506759949915e-5,237,90060,173,static,NA,NA,NA
AT1G04150,2,1.5256901759363384,588,1.6063957043086248,2.09061775946491e-7,154,90552,174,up,MCTP10,multiple C2 domain and transmembrane region protein 10,NA
AT4G13840,1,0.5197978319263572,2517,1.7250380390492124,6.319751640713763e-23,36,90612,175,up,CER26,ECERIFERUM 26,NA
AT1G11330,5,2.0321068661917283,282,1.1272571676283922,0.0022070990173231973,326.5,92073,176,up,RDA2,resistant to DFPM inhibition of ABA signaling 2,SD1-13--S Domain1 13
AT2G25150,2,1.9295708129818065,341,2.49467759487608,2.866645209758773e-4,271,92411,177,up,NA,NA,NA
AT5G27630,1,1.4376090866016173,657,2.249588073003707,8.513233681964208e-8,141,92637,178,up,ACBP5,acyl-CoA binding protein 5,AtACBP5--NA
AT4G25980,2,2.176398980560532,231,0.7007659631224874,0.010912491481953149,404,93324,179,static,NA,NA,NA
AT3G12730,1,1.4013230426909373,687,1.4712087931799718,6.128208182421826e-8,136,93432,180,up,NA,NA,NA
AT1G68735,1,1.1701784904594923,917,2.709143977564855,3.842284936773413e-10,102.5,93992.5,181,up,NA,NA,NA
AT4G18290,1,0.13896730018973097,4721,2.840719428668386,5.046501372669163e-30,21,99141,182,up,KAT2,potassium channel in Arabidopsis thaliana 2,NA
AT2G46660,4,0.4896070315736141,2618,3.821741291236694,1.9739572107498745e-22,38,99484,183,up,CYP78A6,"cytochrome P450, family 78, subfamily A, polypeptide 6",EOD3--enhancer of da1-1
AT1G09723,1,1.5382719492780454,576,2.7162809642039076,1.4111073778917786e-6,173.5,99936,184,up,NA,NA,NA
AT1G05473,5,4.32733162452052,20,-0.0056485088870880705,0.9999650917215911,5030.5,100610,185,static,NA,NA,NA
AT2G46920,2,2.1396206623436536,240,0.6634886914379791,0.013714758576636463,420.5,100920,186,static,POL,poltergeist,NA
AT1G75590,6,0.9612947690241679,1249,3.600215600481103,9.420484048705044e-13,81,101169,187,up,SAUR52,SMALL AUXIN UPREGULATED RNA 52,NA
AT5G44260,3,1.5818979463147511,547,1.7514632871623463,3.57307429687313e-6,185,101195,188,up,AtTZF5,NA,TZF5--Tandem CCCH Zinc Finger protein 5
